1,123
2,99
3,174
4,333
5,396
6,294
7,244
8,281
9,32
10,361
11,40
12,22
13,261
14,303
15,175
16,34
17,152
18,343
19,92
20,301
21,170
22,325
23,304
24,91
25,146
26,119
27,190
28,319
29,112
30,127
31,241
32,165
33,306
34,35
35,6
36,265
37,336
38,121
39,271
40,390
41,228
42,160
43,236
44,55
45,376
46,148
47,3
48,358
49,96
50,166
51,320
52,136
53,269
54,68
55,16
56,140
57,135
58,69
59,310
60,115
61,369
62,11
63,399
64,101
65,54
66,105
67,335
68,296
69,176
70,218
71,360
72,30
73,321
74,357
75,400
76,133
77,291
78,186
79,149
80,224
81,45
82,184
83,365
84,373
85,216
86,77
87,280
88,338
89,211
90,235
91,60
92,217
93,378
94,219
95,113
96,214
97,254
98,171
99,249
100,147
101,292
102,150
103,163
104,74
105,78
106,381
107,72
108,62
109,70
110,229
111,129
112,394
113,266
114,232
115,242
116,107
117,134
118,384
119,345
120,51
121,33
122,7
123,86
124,382
125,331
126,182
127,237
128,212
129,351
130,196
131,221
132,103
133,398
134,38
135,238
136,278
137,267
138,100
139,157
140,340
141,58
142,388
143,76
144,205
145,143
146,81
147,172
148,259
149,187
150,366
151,159
152,337
153,372
154,202
155,89
156,42
157,379
158,162
159,322
160,28
161,258
162,326
163,128
164,145
165,164
166,230
167,328
168,151
169,349
170,17
171,346
172,239
173,397
174,374
175,223
176,131
177,332
178,317
179,220
180,194
181,41
182,227
183,120
184,47
185,195
186,111
187,180
188,316
189,250
190,367
191,98
192,213
193,300
194,80
195,284
196,375
197,14
198,193
199,247
200,255
201,156
202,339
203,46
204,295
205,155
206,273
207,56
208,283
209,299
210,63
211,240
212,197
213,198
214,144
215,312
216,253
217,305
218,327
219,104
220,93
221,204
222,117
223,354
224,252
225,8
226,181
227,67
228,347
229,84
230,139
231,208
232,362
233,90
234,97
235,169
236,290
237,248
238,138
239,380
240,389
241,83
242,59
243,210
244,377
245,395
246,231
247,106
248,233
249,286
250,79
251,383
252,287
253,142
254,209
255,256
256,188
257,330
258,5
259,201
260,371
261,48
262,179
263,314
264,177
265,272
266,108
267,53
268,29
269,21
270,329
271,311
272,353
273,356
274,364
275,25
276,257
277,52
278,268
279,302
280,185
281,109
282,37
283,355
284,279
285,64
286,352
287,31
288,49
289,234
290,298
291,275
292,270
293,309
294,387
295,246
296,178
297,344
298,27
299,282
300,183
301,110
302,61
303,88
304,50
305,87
306,26
307,43
308,124
309,192
310,274
311,94
312,189
313,161
314,19
315,102
316,200
317,44
318,264
319,130
320,15
321,315
322,243
323,324
324,289
325,203
326,73
327,1
328,125
329,308
330,199
331,393
332,307
333,173
334,36
335,385
336,318
337,116
338,82
339,323
340,71
341,215
342,23
343,141
344,370
345,288
346,126
347,137
348,207
349,392
350,363
351,262
352,293
353,65
354,277
355,158
356,153
357,276
358,285
359,225
360,2
361,391
362,132
363,263
364,114
365,4
366,18
367,85
368,342
369,222
370,245
371,75
372,191
373,24
374,95
375,206
376,167
377,348
378,154
379,39
380,341
381,168
382,13
383,9
384,66
385,20
386,57
387,122
388,251
389,10
390,12
391,313
392,297
393,226
394,368
395,386
396,350
397,334
398,260
399,118
400,359
